acronym	count	suggested_action	proposed_spoken	YOUR_ACTION	YOUR_SPOKEN	context_1
MUST	11	SPELL				After this answer, I MUST move to Phase 3.
SESSION	11	SPELL				<thinking> **PHASE CHECK**: Tôi đang ở **PHASE 4: CLOSING THE SESSION**.
NRR	11	SPELL				**Lưu ý khi chọn mua**: - Tìm chỉ số cách âm: SNR (Single Number Rating) hoặc NRR (Noise Reduction Rating).
STRETCHING	11	SPELL				BÀI TẬP STRETCHING TẠI VĂN PHÒNG (không cần dụng cụ) **Vai gáy (mỗi giờ 1 lần):** - Ngồi thẳng, dùng tay phải kéo đầu nghiêng sa
AWS	11	SPELL				rong 2-3 tuần xem có cải thiện không **Về stress**: Em đang trong giai đoạn thi chứng chỉ AWS và lo lắng việc làm, đây là yếu tố quan trọng.
HSIL	11	SPELL				"thể cho con biết trong đó ghi cụ thể là ""tế bào bất thường loại nào"" không (ví dụ: LSIL, HSIL, hay AGC...)?"
NICU	11	SPELL				maturity) - Birth weight 1.8kg is appropriate for 32 weeks - Complications: RDS (required NICU), hyperbilirubinemia (phototherapy) - Current concerns: frequent 
AAC	11	SPELL				- **Thiết bị trợ giao tiếp (AAC)**: Bảng chữ cái điện tử, giúp em chọn chữ/ý để phát ra âm thanh.
AQ	11	SPELL				"skAsk AskAskASKASKAWSAsk **ASKASKASKASKASKASKASK AQASKASKASKASKASKASKASKASKASKASK AWS AWS AQ AQAQASK AWSASKASK AWS AWS AQ AQ"", "", "", "", "", "", "", "", "", AQ"", "", A"
ATV	11	SPELL				h nhân nhận thức được cần tránh bụi bẩn nhưng chưa hiểu rõ mức độ nguy hiểm của hoạt động ATV cuối tuần.
DAA	11	SPELL				điều trị viêm gan C:** Đúng như bác nghe nói, hiện nay đã có thuốc kháng virus trực tiếp (DAA) rất hiệu quả.
NGHI	10	SPELL				p giữa ngực, kèm buồn nôn, vã mồ hôi lạnh, chóng mặt, và khó thở nặng - là dấu hiệu **RẤT NGHIÊM TRỌNG** của nhồi máu cơ tim cấp.
THAI	10	SPELL				**EM ĐANG CÓ TRIỆU CHỨNG NGUY HIỂM CHO CẢ MẸ VÀ THAI NHI!** Với các triệu chứng: **đau ngực, khó thở, và ngất xỉu** khi đang mang thai 5 tháng, em cần được cấp 
RBBB	10	SPELL				ional dyspnea/fatigue for 1 year - No red flags - Differential: bundle branch block (LBBB/RBBB), LVH, ischemia, cardiomyopathy - Need: echocardiogram, stress te
AML	10	SPELL				**U angiolipoma (AML) 2.5cm**: Là khối u lành tính, gồm mô mỡ, cơ, mạch máu.
HCT	10	SPELL				Tôi nghe và thấy có một chi tiết quan trọng cần lưu ý: **Thuốc HCT 25mg (Hydrochlorothiazide)** mà Bác đang uống hàng ngày để điều trị cao huyết áp, có một tác 
Q2	10	SPELL				"* Q2: ""Mắt bé sưng nhiều không, có ảnh hưởng đến việc mở mắt ra hay nhìn rõ không ạ?"" (Severity check)."
KH	10	SPELL				Safety netting về các dấu hiệu nguy hiểm Tôi sẽ KHÔNG chẩn đoán chính xác hay kê đơn thuốc.
DJ	10	SPELL				**Tập thể dục nhẹ nhàng** (đi bộ) khi làm việc DJ, tránh đứng/sit quá lâu một chỗ 4.
OAB	10	SPELL				Tôi xin giải thích đơn giản: **Bàng quang hoạt động quá mức (OAB)** là tình trạng cơ bàng quang co thắt không đúng lúc, khiến Bác có cảm giác buồn tiểu đột ngột
DASH	10	SPELL				Về chế độ ăn uống, chị có biết về **chế độ ăn DASH** hoặc **chế độ ăn Địa Trung Hải** không?
BRAT	10	SPELL				- Gợi ý: Cháo trắng, cơm nát, súp, bánh mì nướng, chuối chín, táo nghiền (BRAT diet).
ABC	10	SPELL				"n, không cần câu cú hoàn chỉnh - Ví dụ: ""Hôm nay chưa giải quyết xong đặt phòng khách sạn ABC"", ""Lo lắng về lịch làm việc ngày mai"" - Mục đích: ""Đẩy"" suy nghĩ r"
OPTIONS	10	SPELL				**[OPTIONS]** Dựa trên tình trạng hiện tại, tôi có thể gợi ý anh 2-3 hướng: 1.
IMPORTANT	10	SPELL				]]cachefile COMPLETE COMPLETE Medical IMPORTANT COMPLETE Con Med Medical Con con confile con Con Con Con Con con con Con Con Mai con con Con Con Con complete
TVTV	10	SPELL				TV******�**TV** TV: **conTV**** TV TV x TV, ** TV ** TV TV TV: TV** TV: TVh **** TV TV x TVTV TV TV TV TV TV TV TV** TV TV TVTV TVTV TV TV: TV TV TV TV TV TV TV
STRUCTURED	9	SPELL				**STRUCTURED CHECK**: - Đã có đủ thông tin để tư vấn cơ bản.
PET	9	SPELL				ận - **Siêu âm hạch**: Đánh giá kích thước, cấu trúc hạch (dịch hay đặc) - **Chụp CT hoặc PET-CT**: Nếu hạch to hoặc nghi ngờ ác tính - **Sinh thiết hạch**: Nếu
NJ	9	SPELL				"**Tìm kiếm online** với từ khóa ""rheumatologist near Caldwell NJ"" (bác sĩ chuyên khoa cơ xương khớp gần Caldwell, New Jersey) 3."
NHANH	9	SPELL				**TÓM TẮT NHANH:** - Ghi chú triệu chứng và đi khám chuyên khoa Cơ xương khớp - Thử các bài tập nhẹ nhàng tại nhà (nhớ tập từ
STRETCHES	9	SPELL				BÀI TẬP STRETCHES VAI GÁY (Làm 2-3 lần/ngày, mỗi bên giữ 20-30 giây):** **Bài 1: Kéo căng cơ cổ sang bên** - Ngồi thẳng lưng, t
GAN	9	SPELL				g gây hại mạnh - Không cần điều trị dài hạn - Chỉ cần theo dõi định kỳ **SO SÁNH VỚI VIÊM GAN B/C:** - Viêm gan B/C: virus gây viêm gan nặng, có thuốc đặc trị, 
NEXT	9	SPELL				**NEXT STEP**: Tôi cần: 1.
IGRA	9	SPELL				- **Test lao**: Test da (PPD) hoặc xét nghiệm máu (IGRA).
VLTL	9	SPELL				**Tìm trung tâm VLTL**: Chọn nơi có bác sĩ chuyên khoa nhi, cơ sở vật chất an toàn, khoảng cách phù hợp 3.
VEGF	9	SPELL				**Tiêm thuốc nội nhãn (Anti-VEGF)**: Giúp giảm phù, cải thiện thị lực, thường tiêm nhiều lần 2.
CSF	9	SPELL				**Rò dịch não tủy (CSF Otorrhea)**: Trong trường hợp nặng hơn (ví dụ do chấn thương sọ não hoặc áp xe), dịch não tủy có thể rò rỉ ra
GPS	9	SPELL				Dạ, em cũng không chắc lắm, nhưng mà có thể do em lái xe nhiều, nhìn màn hình GPS và điện thoại liên tục,lại hay thức khuya để học thêm về lập trình Python cho 
ACS	9	SPELL				- Red Flags: Đau ngực không điển hình ACS, KH rét run khi sốt cao, đờm xanh đặc (nhiễm khuẩn).
AVM	9	SPELL				Trước khi tôi chia sẻ chi tiết, anh/chị đã nghe nói gì về AVM này trước đây chưa ạ?
DKA	9	SPELL				"""Nhiễm toan ceton"" (thường gọi là DKA) là tình trạng rất nguy hiểm, đặc biệt là ở người có bệnh tiểu đường, vì nó có thể gây mất nước nặng, hôn mê"
WBC	9	SPELL				"chưa?** (ví dụ: bạch cầu trung tính, lymphocyte...) --- **Giải thích của tôi:** Bạch cầu (WBC) không chỉ là một loại duy nhất mà gồm 5 ""thành viên"" chính, mỗi n"
HCV	9	SPELL				máu - **Xét nghiệm viêm gan virus**: Anti-HAV IgM (viêm gan A), HBsAg (viêm gan B), Anti-HCV (viêm gan C) - **Siêu âm gan**: để đánh giá kích thước, cấu trúc ga
SKINCARE	8	SPELL				QUY TRÌNH SKINCARE CƠ BẢN 3 BƯỚC (Sáng & Tối)** **Bước 1: Làm sạch (Cleansing)** - Sáng: Rửa mặt bằng sữa rửa mặt dịu nhẹ - Tối:
TRANG	8	SPELL				KEM CHỐNG NẮNG - CÓ CẦN TẨY TRANG KHÔNG?** **CÓ!** Kem chống nắng (kể cả không trang điểm) cần được **tẩy trang kỹ vào buổi tối** vì: - Kem chố
TA	8	SPELL				--- **TÓM TẮT NHỮNG GÌ CHÚNG TA ĐÃ THẢO LUẬN:** ✅ **Triệu chứng anh**: Khó thở khi leo cầu thang, mệt mỏi kéo dài, phù nhẹ buổi tối - cần đi
TAI	8	SPELL				**Quan trọng nhất: Anh TUYỆT ĐỐI KHÔNG NÊN TỰ LẤY RÁY TAI**, vì có thể gây tổn thương ống tai, nhiễm trùng nặng hơn, hoặc đẩy ráy tai vào sâu hơn.
QUAY	8	SPELL				CÁCH QUAY LẠI TẬP AN TOÀN SAU 2 TUẦN:** - **Tuần 3**: Giảm 50% cường độ (2.5km đi bộ, yoga 30 phút), tránh các động tác
HAY	8	SPELL				"i thích và tư vấn như sau: **TRƯỚC KHI CON GIẢI THÍCH, BÁC CÓ BIẾT GÌ VỀ ""BỆNH MẠCH VÀNH"" HAY ""ĐAU THẮT NGỰC"" KHÔNG Ạ?** Nếu Bác chưa rõ, con xin giải thích đơn"
PCSK9	8	SPELL				Đó có thể là thuốc PCSK9 inhibitors (như evolocumab, alirocumab) hoặc Inclisiran - đây là những thuốc mới, tiêm dưới da, giúp giảm LDL
III	8	SPELL				THUỐC ĐÃ DÙNG**: - Tên thuốc: __, Liều: __, Uống __ ngày, Kết quả: Có/Không đỡ **III.
CHUNG	8	SPELL				**THÔNG TIN CHUNG EM CÓ THỂ THAM KHẢO:** Một số dưỡng chất có thể hỗ trợ sức khỏe tinh thần khi thiếu hụt: - **Vitamin B comple
KEGEL	8	SPELL				BÀI TẬP KEGEL (TẬP CƠ SÀN CHẬU):** Anh/Chị có thể tập ở nhà hàng ngày: - **Cách tập**: Nằm ngửa, co cơ âm đạo như đang nín
BAN	8	LOWERCASE	ban			GIẢM NGỨA BAN ĐÊM:** - **Đeo găng tay cotton** cho bé khi ngủ hoặc cắt móng tay ngắn - **Quấn khăn/mặc đồ cotton mỏng** để
GFR	8	SPELL				Vì bác không nhớ chỉ số GFR hiện tại, Con chỉ có thể tư vấn những nguyên tắc chung thôi, bác nhé.
SHARING	8	SPELL				**[PHASE 4 - SHARING INFORMATION]** Cháu Mai ngoan à, trong lúc chờ đi khám, bác có thể gợi ý vài cách để cháu cảm thấy dễ chịu hơ
DU	8	SPELL				u anh có hành vi nguy hiểm:** **ĐIỀU QUAN TRỌNG NHẤT: KHÔNG NÊN ĐÁNH THỨC NGƯỜI ĐANG MỘNG DU.** Việc đánh thức đột ngột có thể khiến anh hoảng loạn, bối rối, th
